DETAILED DATABASE

+--------+---------------------------+---------------------------+------+------+----------------------------------------------------------------------------------------------------------------------------------+---------+---------+---------+-------------+------------+------+------+----------+---------+---------+---------+-------------+------------+------+------+----------+---------+
|  ROLL  |            NAME           |        FATHER_NAME        | SEM1 | SEM2 |                                                             PENDING1                                                             | STATUS1 | SEM1_CO | SEM2_CO | PENDING1_CO | STATUS1_CO | SEM3 | SEM4 | PENDING2 | STATUS2 | SEM3_CO | SEM4_CO | PENDING2_CO | STATUS2_CO | SEM5 | SEM6 | PENDING3 | STATUS3 |
| 14123  |     HARSH KUMAR SHUKLA    |    BRAJESH KUMAR SHUKLA   | 760  | 745  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 779  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14124  |       HIMALAYA SINGH      |     DINESH KUMAR SINGH    | 808  | 740  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 810  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14125  |       HIMANSHI SINGH      |         B.N.SINGH         | 723  | 777  |                                                               NONE                                                               |  PWG(5) |    -    |    -    |      -      |     -      | 709  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14126  |       HIMANSHU VERMA      |    SATYENDRA PAL SINGH    | 703  | 771  |                                                               NONE                                                               |  PWG(5) |    -    |    -    |      -      |     -      | 751  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14127  |       JOHNY BILTORIA      |     DHARMPAL BILTORIA     | 820  | 838  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 846  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14128  |        MAYANK SAINI       |     RAKESH KUMAR SAINI    | 841  | 801  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 851  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14129  |      MOHD AHMAR KHAN      |       MOHD AZIM KHAN      | 613  | 618  |                                                         KEE101, KME202,                                                          |  PCP(2) |    -    |    -    |      -      |     -      | 687  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14130  |     MOHD SHAHZEB KHAN     |     MOHD BASHEER KHAN     | 511  | 542  |                                                 KAS102, KAS203, KEE101, KME202,                                                  |  PCP(4) |    -    |    -    |      -      |     -      | 580  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14131  |      MOHD WAMIQ KHAN      |             -             |  -   |  -1  |                                                                -                                                                 |         |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14132  |     MOHIT KUMAR SAGAR     |       UDAYVEER SINGH      | 662  | 613  |                                                         KEE101, KME202,                                                          |  PCP(2) |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14133  |       NAIMISH DUBEY       |      RAJ KUMAR DUBEY      | 729  | 818  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 800  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14134  |     NAINCY SRIVASTAVA     |         RAVI KUMAR        | 798  | 804  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 822  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14135  |    NEELESH KUMAR NIRMAL   |     MAKKHAN LAL NIRMAL    | 458  | 514  |                                     KAS101, KAS102, KAS203, KAS103, KAS204, KEE101, KME202,                                      |   FAIL  |    -    |    -    |      -      |     -      | 552  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14136  |      NEERAJ NARVARIYA     |          RAJARAM          | 612  | 681  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 654  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14137  |       NEHA CHAUDHARY      |    SUNIL DUTT CHAUDHARY   | 743  | 825  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 781  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14138  |        PANKAJ YADAV       |          ASHARAM          | 751  | 760  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 800  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14139  |    PAURUSH KUMAR GUPTA    |      SHIV KUMAR GUPTA     | 802  | 759  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 736  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14140  |    PAVAN KUMAR KESHARI    |    RAKESH KUMAR KESHARI   | 729  | 749  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 734  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14141  |       PRADEEP KUMAR       |       KRISHAN KUMAR       | 796  | 736  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 752  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14142  |       PRATEEK TIWARI      |       RAMESH TIWARI       | 688  | 746  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 772  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14143  |         RAVI KANT         |          DASHRATH         | 592  | 619  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 674  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14144  |    RAVINDRA KUMAR VERMA   |    NANKAN PRASAD VERMA    | 670  | 692  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 711  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14145  |         ROLI VERMA        |        BIDLA VERMA        | 830  | 823  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 860  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14146  |    SANDEEP KUMAR YADAV    |      RAM VILAS YADAV      | 706  | 727  |                                                               NONE                                                               |  PWG(5) |    -    |    -    |      -      |     -      | 759  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14147  |    SANTOSH KUMAR GONDA    |        MAHNGOO RAM        | 658  | 636  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 667  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14148  |       SAURABH SHARMA      |         KESHAV DEV        | 716  | 758  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 731  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14149  |       SHEKHAR KUMAR       |       JASBEER SINGH       | 567  | 596  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 573  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14150  |       SHIVA KARTIKEY      |     SANJAY KUMAR SINGH    | 482  | 631  |                                                         KAS102, KEE101,                                                          |  PCP(2) |    -    |    -    |      -      |     -      | 634  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14151  |      SHUBHAM BANERJEE     |    TARUN KUMAR BANERJEE   | 686  | 744  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 715  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14152  |       SHUBHAM GUPTA       |    MATHURA PRASAD GUPTA   | 649  | 731  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 771  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14153  |     SHUBHAM SRIVASTAVA    |  SUSHIL KUMAR SRIVASTAVA  | 788  | 760  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 764  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14154  |           SONOO           |           GOVIND          | 695  | 732  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 663  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14155  |  SURAJ KUMAR VISHWAKARMA  |  VIJAY KUMAR VISHWAKARMA  | 869  | 872  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 871  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14156  |       VATSALA VERMA       |      RAM PRATAP VIMAL     | 808  | 829  |                                                               NONE                                                               |  PWG(5) |    -    |    -    |      -      |     -      | 827  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14157  |   VIRENDRA KUMAR BHARTI   |       RAM KARAN RAM       | 552  | 561  |                                                         KEE101, KME202,                                                          |  PCP(2) |    -    |    -    |      -      |     -      | 613  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14158  |        YOGESH KUMAR       |        SHIV PRASAD        | 765  | 747  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 787  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14159  |     DONKUPAR MYRTHONG     |      SROLY SANGRIANG      | 687  | 693  |                                                             KEE101,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 680  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14201  |    ABISHEK KUMAR SAHANI   |        JIUT SAHANI        | 347  |  40  | KAS101, KAS201, KAS103, KAS202, KAS104, KAS203, KAS105, KEC201, KCS101, KEE201, KME102, KME201, KAS251, KAS252, KEE251, KWS251,  |   INC   |    -    |    -    |      -      |     -      | 522  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14202  |        ADARSH ANAND       |         A K ANAND         | 658  | 693  |                                                         KEE201, KME102,                                                          |  PCP(2) |    -    |    -    |      -      |     -      | 731  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14203  |     AKASH KUMAR BHARTI    |      RAM REKHA PRASAD     | 544  | 566  |                                                     KAS103, KEE201, KME102,                                                      |  PCP(3) |    -    |    -    |      -      |     -      | 604  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14204  |     AKASH SINGH SENGAR    |   ANAND PAL SINGH SENGAR  | 649  | 656  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 673  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14205  |       AKRITI SHARMA       |   ADITYA PRAKASH SHARMA   | 724  | 650  |                                                             KEE201,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 739  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14206  |        AKSHAT PARAG       |        GOVIND PARAG       | 771  | 771  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 796  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14207  |      AMAN KUMAR SINGH     |     PAWAN KUMAR SINGH     | 689  | 616  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 675  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14208  |        AMAN SONKAR        |     RAM NARAYAN SONKAR    | 636  | 607  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 650  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14209  |      AMIT KUMAR SINGH     |     SAMBHOO NATH SINGH    | 661  | 715  |                                                             KME102,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 688  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14210  |        AMIT PANDEY        |     ASHOK KUMAR PANDEY    | 774  | 720  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 686  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14211  |       ANSHITA VERMA       |     PREM CHANDRA VERMA    | 788  | 798  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 782  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14212  |      ANSHUL VARSHNEY      |   RAKESH KUMAR VARSHNEY   | 722  | 690  |                                                               NONE                                                               |  PWG(5) |    -    |    -    |      -      |     -      | 765  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14213  |      ANSHUMAN MISHRA      |    ARVIND KUMAR MISHRA    | 746  | 749  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 804  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14214  |        ANURAG SINGH       |     ASHOK KUMAR SINGH     | 616  | 607  |                                                         KEE201, KME102,                                                          |  PCP(2) |    -    |    -    |      -      |     -      | 626  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14215  |       ASHUTOSH RANA       |       VIRENDRA KUMAR      | 575  | 561  |                                                     KAS203, KEE201, KME102,                                                      |  PCP(3) |    -    |    -    |      -      |     -      | 646  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14216  |       ASHUTOSH YADAV      |       RAM NATH YADAV      | 804  | 799  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 796  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14217  |         ATUL GUPTA        |    SANTOSH KUMAR GUPTA    | 797  | 748  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 766  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14218  |   ATUL KUMAR CHATURVEDI   |   ARUN KUMAR CHATURVEDI   | 800  | 788  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 795  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14219  |         AYUSH AMAN        |      RAM HARSH PRASAD     | 708  | 670  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 733  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14220  |        DEEPAK KUMAR       |      DASHARATH SINGH      | 673  | 709  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 715  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14221  |    DEEPAK KUMAR PATHAK    |     AJAY KUMAR PATHAK     | 733  | 748  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 712  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14222  |     DEVOSHREE MUKHERJI    |     DEVASHISH MUKHERJI    | 820  | 789  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 819  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14223  |       HARSHIKA VERMA      |       DESH RAJ VERMA      | 725  | 760  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 682  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14224  |      HIMANSHU YADAV       |        RAMPAL SINGH       | 508  |  -1  |                                                                -                                                                 |         |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14225  |      KUSHAGRA SAXENA      |   VISHAL CHANDRA SAXENA   | 815  | 825  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 802  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14226  |        MADHAV GOPAL       |     RAM PRAKASH SHARMA    | 724  | 700  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 758  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14227  |        NEHA KUMARI        |        KAPTAN SINGH       | 730  | 700  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 739  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14228  |    NIKHIL PRATAP SINGH    |      RAM SAHAY SINGH      | 605  | 664  |                                                             KME102,                                                              |  PCP(1) |    -    |    -    |      -      |     -      | 660  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14229  |       NIPENDRA GILL       |       BHAGWAN SINGH       | 749  | 663  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 671  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14230  |       PRAGATI GAUTAM      |        RAJESH KUMAR       | 646  | 607  |                                                         KEE201, KME102,                                                          |  PCP(2) |    -    |    -    |      -      |     -      | 657  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14231  |      PRATIKSHA SINGH      |      SURESH PAL SINGH     | 851  | 839  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 817  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14232  |     PRAVIN KUMAR MALL     |    SUBHASH CHANDRA MALL   | 733  | 780  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 708  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14233  |       PRIYAL MISHRA       |       DINESH MISHRA       | 848  | 806  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 816  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14234  |     PRIYANSHI AGARWAL     |       VIVEK AGARWAL       | 832  | 816  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 865  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14235  |      PRIYANSHI MITTAL     |      AKHILESH AGARWAL     | 880  | 874  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 884  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14236  |     RAHUL KUMAR GUPTA     |    JUGUL KISHORE GUPTA    | 782  | 775  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 752  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14237  |       RAJAT CHAUHAN       |       RAJESH CHAUHAN      | 775  | 718  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 735  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14238  |      RAJAT RAJ TYAGI      |     SUDHIR KUMAR TYAGI    | 797  | 800  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 740  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14239  |         RAM SINGH         |          JANARDAN         | 721  | 751  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 675  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14240  |       RAMENDRA SINGH      |        RAJESH SINGH       | 824  | 812  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 860  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14241  |   RATNESH KUMAR KESHARI   |       SHANKAR KESHRI      | 718  | 768  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 765  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14242  |       RAVI RAJ SINGH      |    BIBHASH KUMAR SINGH    | 729  | 696  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 785  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
| 14243  |     SACHIN KUMAR GUPTA    |     SHIV SHANKAR GUPTA    | 735  | 701  |                                                               NONE                                                               |   PASS  |    -    |    -    |      -      |     -      | 765  |  -   |    -     |    -    |    -    |    -    |      -      |     -      |  -   |  -   |    -     |    -    |
